Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung
1001;37060193;GENODED1PAX;Pax Bank;Köln;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1002;37060590;GENODED1SPK;Sparda-Bank West eG;Köln;Sparda-Datenverarbeitung eG;BVR;;;;;;;;;;;;;;;;;;https://fints.bankingonline.de/fints/FinTs30PinTanHttpGate;FinTS V3.0;26.09.2013
1003;37060993;GENODEF1P13;PSD Bank Köln;Köln;Atruvia AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;;;;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1004;37062124;GENODED1BGL;Bensberger Bank eG;Bensberg;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1005;37062365;GENODED1FHH;Raiffeisenbank Frechen-Hürth;Frechen-Hürth;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1006;37062365;GENODED1FHH;RB Frechen-Hürth eG;Frechen-Hürth, Köln;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1007;37062600;GENODED1PAF;VR Bank eG Bergisch Gladbach;Paffrath;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1008;37062600;GENODED1PAF;Paffrather RB eG;Paffrath, Overath-Rösrath;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1009;37069125;GENODED1RKO;Raiffeisenbank Kürten-Odenthal eG;Kürten-Odenthal;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1010;37069252;GENODED1ERE;Volksbank Erft eG;Erft;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1011;37069322;GENODED1EGY;Raiffeisenbank Gymnich eG;Gymnich;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1012;37069330;GENODED1HAW;Volksbank Haaren eG;Haaren;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1013;37069342;GENODED1HMB;Volksbank Heimbach eG;Heimbach;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1014;37069405;GENODED1KAA;Raiffeisenbank Kaarst eG;Kaarst;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1015;37069412;GENODED1HRB;Volksbank Heinsberg eG;Heinsberg;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1016;37069412;GENODED1HRB;RB eG Heinsberg;Heinsberg, Selfkant;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1017;37069412;GENODED1HRB;RB eG, Heinsberg;Heinsberg, Geilenkirchen;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1018;37069427;GENODED1DHK;Voba Dünnwald-Holweide eG;Dünnwald-Holweide;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1019;37069520;GENODED1RST;VR Bank Rhein-Sieg eG.;Rhein-Sieg;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1020;37069627;GENODED1RBC;RB Rheinbach-Voreifel eG;Rheinbach Euskirchen;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1021;37069639;GENODED1WND;Rosbacher Raiffeisenbank eG;Rosbach;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1022;37069642;GENODED1SMR;Raiffeisenbank Simmerath eG;Simmerath;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1023;37069720;GENODED1SLE;VR-Bank Nordeifel eG.;Nordeifel;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1024;37069991;GENODED1BRL;Brühler Kreditbank eG;Brühl;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1025;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Köln;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1026;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Bad Münstereifel;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1027;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Bergheim;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1028;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Bergisch Gladbach;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1029;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Brühl;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1030;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Dormagen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1031;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Eitorf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1032;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Euskirchen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1033;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Frechen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1034;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Grevenbroich;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1035;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Hennef (Sieg);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1036;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Hürth;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1037;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Kerpen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1038;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Siegburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1039;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Troisdorf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1040;37070024;DEUTDEDBKOE;Deutsche Bank Privat und Geschäftskunden;Wesseling;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1041;37070060;DEUTDEDKXXX;Deutsche Bank;Köln;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1042;37070060;DEUTDEDKXXX;Deutsche Bank;Grevenbroich;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1043;37070060;DEUTDEDKXXX;Deutsche Bank;Brühl;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1044;37070060;DEUTDEDKXXX;Deutsche Bank;Bergisch Gladbach;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1045;37070060;DEUTDEDKXXX;Deutsche Bank;Bergheim;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1046;37070060;DEUTDEDKXXX;Deutsche Bank;Euskirchen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1047;37070060;DEUTDEDKXXX;Deutsche Bank;Dormagen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1048;37070060;DEUTDEDKXXX;Deutsche Bank;Frechen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1049;37070060;DEUTDEDKXXX;Deutsche Bank;Hennef (Sieg);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1050;37070060;DEUTDEDKXXX;Deutsche Bank;Troisdorf;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1051;37070060;DEUTDEDKXXX;Deutsche Bank;Siegburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1052;37070060;DEUTDEDKXXX;Deutsche Bank;Wesseling;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1053;37070060;DEUTDEDKXXX;Deutsche Bank;Bad Münstereifel;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1054;37070060;DEUTDEDKXXX;Deutsche Bank;Hürth;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1055;37070060;DEUTDEDKXXX;Deutsche Bank;Eitorf;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1056;37070060;DEUTDEDKXXX;Deutsche Bank;Kerpen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1057;37540050;COBADEFFXXX;Commerzbank;Leverkusen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1058;37551440;WELADEDLLEV;Sparkasse Leverkusen ;Leverkusen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;09.02.2022
1059;37551780;WELADED1LAF;Stadt-Sparkasse Langenfeld;Langenfeld;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;09.02.2022
1060;37570024;DEUTDEDB375;Deutsche Bank Privat und Geschäftskunden;Leverkusen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1061;37570024;DEUTDEDB375;Deutsche Bank Privat und Geschäftskunden;Burscheid;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1062;37570024;DEUTDEDB375;Deutsche Bank Privat und Geschäftskunden;Leichlingen (Rheinland);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1063;37570064;DEUTDEDK375;Deutsche Bank;Leverkusen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1064;37570064;DEUTDEDK375;Deutsche Bank;Burscheid;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1065;37570064;DEUTDEDK375;Deutsche Bank;Leichlingen (Rheinland);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1066;38020090;HYVEDEMM402;UniCredit Bank - HypoVereinsbank AG;Bonn;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
1067;38040007;COBADEFFXXX;Commerzbank;Bonn;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1068;38040007;COBADEFFXXX;Commerzbank;Bad Neuenahr-Ahrweiler;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1069;38040007;COBADEFFXXX;Commerzbank;Bad Honnef;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1070;38040007;COBADEFFXXX;Commerzbank;Euskirchen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1071;38040007;COBADEFFXXX;Commerzbank;Hennef ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1072;38040007;COBADEFFXXX;Commerzbank;Siegburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1073;38060186;GENODED1BRS;Volksbank Köln Bonn eG;Bonn Rhein-Sieg;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1074;38070024;DEUTDEDB380;Deutsche Bank Privat und Geschäftskunden;Bonn;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1075;38070024;DEUTDEDB380;Deutsche Bank Privat und Geschäftskunden;Bad Honnef;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1076;38070024;DEUTDEDB380;Deutsche Bank Privat und Geschäftskunden;Bad Neuenahr-Ahrweiler;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1077;38070024;DEUTDEDB380;Deutsche Bank Privat und Geschäftskunden;Meckenheim;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1078;38070024;DEUTDEDB380;Deutsche Bank Privat und Geschäftskunden;Remagen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1079;38070024;DEUTDEDB380;Deutsche Bank Privat und Geschäftskunden;Rheinbach;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1080;38070059;DEUTDEDK380;Deutsche Bank;Bonn;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1081;38070059;DEUTDEDK380;Deutsche Bank;Bad Neuenahr-Ahrweiler;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1082;38070059;DEUTDEDK380;Deutsche Bank;Meckenheim;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1083;38070059;DEUTDEDK380;Deutsche Bank;Rheinbach;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1084;38070059;DEUTDEDK380;Deutsche Bank;Remagen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1085;38070059;DEUTDEDK380;Deutsche Bank;Bad Honnef;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1086;38070724;DEUTDEDBXXX;Deutsche Bank Privat und Geschäftskunden F 950;Bonn;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1087;38077724;DEUTDEDB383;Deutsche Bank Privat und Geschäftskunden F 950;Königswinter;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1088;38160220;GENODED1HBO;Raiffeisenbank Hardtbg.-Alfter;Hardtbg.-Alfter;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1089;38250110;WELADED1EUS;Kreissparkasse Euskirchen ;Euskirchen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;09.02.2022
1090;38260082;GENODED1EVB;Volksbank Euskirchen eG;Euskirchen;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1091;38440016;COBADEFFXXX;Commerzbank;Bergneustadt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1092;38440016;COBADEFFXXX;Commerzbank;Gummersbach;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1093;38440016;COBADEFFXXX;Commerzbank;Waldbröl;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1094;38440016;COBADEFFXXX;Commerzbank;Wiehl;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1095;38450000;WELADED1GMB;Sparkasse Gummersbach-Bergneustadt ;Gummersbach-Bergneustadt;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;09.02.2022
1096;38462135;GENODED1WIL;Raiffeisenbank Wiehl eG;Wiehl;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1097;38470024;DEUTDEDB384;Deutsche Bank Privat und Geschäftskunden;Gummersbach;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1098;38470024;DEUTDEDB384;Deutsche Bank Privat und Geschäftskunden;Bergneustadt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1099;38470024;DEUTDEDB384;Deutsche Bank Privat und Geschäftskunden;Engelskirchen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1100;38470024;DEUTDEDB384;Deutsche Bank Privat und Geschäftskunden;Meinerzhagen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1101;38470024;DEUTDEDB384;Deutsche Bank Privat und Geschäftskunden;Waldbröl;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1102;38470091;DEUTDEDW384;Deutsche Bank;Gummersbach;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1103;38470091;DEUTDEDW384;Deutsche Bank;Bergneustadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1104;38470091;DEUTDEDW384;Deutsche Bank;Engelskirchen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1105;38470091;DEUTDEDW384;Deutsche Bank;Meinerzhagen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1106;38470091;DEUTDEDW384;Deutsche Bank;Waldbröl;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1107;38621500;GENODED1STB;Steyler Missionssparinst. GmbH;Steyl;Atruvia AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;11.01.2022
1108;39040013;COBADEFFXXX;Commerzbank;Eschweiler;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1109;39040013;COBADEFFXXX;Commerzbank;Aachen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1110;39040013;COBADEFFXXX;Commerzbank;Stolberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1111;39040013;COBADEFFXXX;Commerzbank;Würselen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
1112;39040013;COBADEFFXXX;Commerzbank;Jülich;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
